TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
341630071,2147.01,VPC+,10.155,26.204978,2599.176807,155.642303,83.083717,9.88,11.098,1.15,1.34,6015,29.12,1
233569098,2148.01,NEB,14.021,23.48522,1693.42328,281.814149,64.806406,9.837,11.199,1.08,1.51,5846,23.45,1
1716467085,2149.01,VPC-,5.806,0.58425,3367.227586,285.59643,42.507347,9.322,10.639,1.11,1.41,5948,2.16,1
230267547,2150.01,NEB,6.507,2.22638,2768.269102,264.591095,18.473832,9.726,10.775,1.31,1.84,6298,4.27,1
23389848,2151.01,EB,16.126,15.64643,2014.36854,275.117959,30.855806,9.118,10.753,1.01,1.95,5564,13.52,1
395393265,2152.01,P,15.306,3.377284,2883.441847,26.338409,77.790173,9.669,11.436,1.42,1.73,5168,6.14,1
406855039,2153.01,NEB,4.242,2.718084,2391.951972,274.870549,71.248547,8.605,10.209,1.01,2.18,5610,3.77,1
428787891,2154.01,P,16.055,3.824083,2768.102761,71.028621,84.3642,9.864,11.068,1.21,1.39,6134,7.91,1
461591646,2155.01,BD,10.895,3.724688,2913.983994,5.799278,84.452845,10.158,11.728,1.17,1.74,5963,6.12,1
258402425,2156.01,NEB,15.673,0.67554,2011.05035,274.416593,23.917753,8.464,10.726,0.79,2.74,4766,1.1,1
298495970,2157.01,SEB1,15.112,8.424904,2764.110052,261.717929,25.849319,9.711,11.331,1.03,0.93,5677,18.83,1
342642208,2158.01,P,10.773,8.600756,2758.586312,276.810255,20.526853,9.172,10.887,0.94,1.5,5333,11.55,1
270515566,2159.01,APC,13.573,10.05097,2755.898401,264.454111,47.230247,9.882,11.796,1.05,1.41,5729,14.15,1
284477310,2160.01,VPC?,2.722,2.23905,2688.464288,291.126118,56.881266,9.782,11.297,1.12,1.25,5918,6,1
366563452,2161.01,NEB,1.089,1.587387,2767.160908,304.444576,77.166175,8.398,10.386,0.84,0.81,5028,6.69,1
284564230,2162.01,NEB,4.669,12.977485,2800.321479,291.523894,58.510083,9.635,10.491,1.38,1.66,6476,15.58,1
43429656,2163.01,PC,3.72,5.21325,3474.956612,261.440943,23.056956,9.499,10.761,1.25,1.47,6182,9.28,1
49967354,2164.01,NEB,12.248,1.09333,2010.86112,277.90775,13.897961,9.624,11.619,0.9,3.39,4837,1.27,1
