KIC,TIC,Vmag,VmagErr
11922778,27767092,14.934,0.069
2975770,121395761,14.841,0.126
7692093,271348203,15.988,0.081
7772914,273500269,14.789,0.069
3529290,120892388,13.951,0.286
6025124,120421879,14.51,0.172
6277410,121944731,15.622,0.32
9843517,272601878,16.052,1.133
8812045,158933840,14.643,0.126
3101923,121213409,15.062,0.137
5621333,137555966,15.065,0.057
3236705,351059063,15.102,0.046
2849140,122608023,15.45,0.092
8121328,268301403,14.633,0.069
6043538,137410398,15.001,0.423
7289338,270781967,15.609,0.252
5004909,122139098,14.018,0.092
6278670,394172648,13.796,0.114
5898983,169817909,13.306,0.092
5617259,122707980,11.798,0.057
9474756,271773671,15.204,0.023
5308663,172372457,15.938,0.24
6356400,121944544,16.019,0.149
5900235,170244413,14.535,0.206
7517261,158725179,13.564,0.057
5877292,137410708,15.336,0.007
9845909,273131025,15.184,0.16
9221528,275490095,15.035,0.092
6106046,399822065,15.457,0.149
6058816,184427149,13.312,0.103
4263529,351063477,14.128,0.16
7697103,272372834,15.838,0.126
9267996,164891228,14.01,0.183
7093401,123451603,15.545,0.092
4820550,121013026,14.111,0.069
11547869,48504442,17.501,0.046
9973109,268935452,14.772,0.172
5966810,138428341,14.934,0.172
6863158,63006660,16.137,0.4
8308347,271350097,15.706,0.092
10281221,271167188,15.004,0.092
7017372,158167408,14.103,0.183
3128552,138568416,14.749,0.08
6887030,273507543,14.941,0.149
8323764,268483195,17.671,0.047
5008245,122706449,14.236,0.16
4075067,184244064,11.529,0.016
12301181,399955825,13.175,0.114
6891124,268165527,14.535,0.103
9489524,269271535,13.142,0.114
7813039,158725720,13.96,0.08
6531617,271051838,14.787,0.435
4164922,138105005,13.054,0.092
8365739,63010240,15.647,0.069
8827930,271544337,16.131,0.286
6790592,271752221,12.985,0.083
6508221,158387462,14.379,0.103
6952971,275495689,14.636,0.103
4147444,121784567,10.751,0.008
5769943,350987726,17.421,0.047
4638237,120765843,14.053,0.092
12154526,299029323,13.46,0.126
6507433,120899739,15.573,0.046
8765560,272273518,13.931,0.092
8780959,239289191,13.374,0.08
5008501,122706536,14.571,0.103
5184709,122713330,14.892,0.149
7778664,268604182,14.995,0.137
5211199,169814632,13.194,0.114
7834712,271957065,16.07,0.149
9574614,164832748,16.165,1.133
8189801,268484308,16.226,0.126
10028352,273592175,12.682,0.103
10917681,290035378,14.213,0.16
7134626,272375172,13.097,0.08
11246161,26749008,15.162,0.195
10352333,272597853,13.305,0.103
12253474,299029211,12.418,0.046
3764879,184167886,14.211,0.114
7601665,159180435,13.475,0.149
9149789,159176642,15.058,0.08
7051984,272709257,12.9,0.057
