,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
1314,3978.01,VPC,3.5472157,2e-05,2459736.3547166,0.0045428,4.503,16.293,4.82,0.0072404517996577855,,119.89446525426172,,0.00360867010692834,SH,432.34,,183.74494823027368,2.0,0.0,1.202979796093042,1786.890481635905,5548.0,0.98,2.02,0.0,11.370053,78.447715,14.482,12.183,,2.579327135483127,0.002364630488355234,-0.26,2.35,0.1525642890873189,0.005843875432928566,0.00015969854157150571,2460662.1780143,86,2461641.2095475,26,2462290.3500206,19
1315,3980.01,VPC+,3.6089193,7.8e-06,2459907.8303704,0.001638,2.255,17.0677,6.19,0.0028478582278357286,,244.36953560186464,,-0.0012318843516800548,SH,436.48,,175.03638333832134,2.0,0.0,1.1667708402695047,1663.76657754498,5854.0,1.06,1.63,0.0,12.841792,59.575848,12.549,10.818,,0.848714933009072,0.00028212935164098797,-0.26,2.35,0.46575527148330154,0.01156098021266479,0.00016849796411914334,2460633.2231497,85,2461589.5867642,24,2462260.845754,18
1316,3997.01,VPC+,3.4600026,7.1e-06,2459908.19918,0.001638,1.827,17.6761,7.28,0.7069030317808649,,251.54638530328256,,-0.22376083220137497,SH,437.66,,244.0307168552669,2.0,0.0,1.1375204492038684,1571.6410414553359,5997.0,1.11,1.37,0.0,3.392877,59.896543,13.785,11.856,,1.7982588457924789,0.0006516233905871343,-0.26,2.35,0.42777427053023276,0.007633034376187434,0.0001794308928858042,2460634.799726,85,2461589.7604436,24,2462257.5409453996,18
1317,3998.01,VPC-,1.81451,1.2e-06,2459880.3861053,0.0005449,1.746,13.3431,5.37,0.018979655746892515,,326.38089827746745,,0.015805055900450924,SH,401.26,,209.0235675941341,2.0,0.0,1.3440688799905145,1738.072307042063,5696.0,1.01,1.17,0.0,7.636677,56.331484,12.729,11.024,,0.8813800681474679,0.0002133620542560591,-0.26,2.35,0.4463961178249638,0.016477225319472415,0.00026404872851134756,2460635.2222653,85,2461589.6545253,24,2462262.8377353,18
1318,4001.01,PC,4.8982659,2e-05,2459904.2365177,0.0036001,2.874,4.84123,11.19,0.00033305359185737814,,14.319273471428545,,-0.0003227064792635492,SH,19.14,,7.159325551140942,2.0,0.0,0.9031869946406933,1204.037295418136,5696.0,1.01,1.09,0.0,2.528567,64.572598,12.373,10.719,,0.7345251998857076,0.12631369036875922,-0.26,3.436,0.2808062718908382,0.0003089067405702349,4.301573866838236e-06,2460634.0781368,85,2461589.2399873,24,2462260.3024156,18
1319,4004.01,VPC+,5.3798996,2.22e-05,2459882.8829697757,0.002050122,2.85,7.09264,10.77,0.002101213356617086,,44.69197800799077,,-0.0014937482663027596,SH,62.05,,20.997351945225816,2.0,0.0,1.0822824447475756,1302.0562446578695,6043.0,1.12,1.25,0.0,22.973577,66.819298,13.783,11.561,,1.8210423623149516,0.09025936799261904,-0.26,2.649,0.1971321809292929,0.0005270218908277056,1.0815053068154032e-05,2460657.5885121757,86,2461609.8307413757,25,2462260.798592976,18
1320,4009.01,VPC+,4.3271416,1.67e-05,2459882.417589766,0.0021567023,2.382,14.5369,6.05,0.03028675793224304,,107.64628639684746,,0.009181122563116458,SH,418.27,,154.10581394687577,2.0,0.0,1.2876696034209079,1723.153845004479,5994.0,1.1,1.91,0.0,12.779812,70.945827,12.865,11.169,,1.028498193786028,0.0005345031456191551,-0.26,2.35,0.1927063165046376,0.005956509898648221,0.0001020450323839591,2460661.303077766,86,2461613.274229766,25,2462262.345469766,18
1321,4011.01,VPC,4.3359117,3.01e-05,2459740.0184273,0.0051811,3.461,13.9797,7.56,0.005114943002983705,,24.05912026122316,,0.004670583776854071,SH,411.03,,156.03357114667375,2.0,0.0,1.3140343105720123,1495.4566333826074,5815.0,1.05,1.51,0.0,24.601242,72.993153,13.951,12.101,,1.8435557818357273,0.0016751654810321479,-0.26,2.35,0.15765941170795328,0.0028044708382730893,7.379907670761539e-05,2460659.2317076996,86,2461613.1322816997,25,2462289.5345069,19
1322,4012.01,VPC+,1.82544,2.3e-06,2459883.1269973954,0.0007991784,1.744,11.7503,7.13,0.004520217429068643,,19.750536837035995,,-0.004254305916174996,SH,362.83,,245.5110355559989,2.0,0.0,1.4107617720204257,1145.0538795605971,4324.0,0.68,0.77,0.0,41.399013,66.359328,14.699,11.532,,2.243726005368434,0.0010022564339711986,-0.26,2.35,0.4058523702649612,0.003104354201061625,6.285954999287697e-05,2460657.113557396,86,2461615.469557395,25,2462290.8823573953,19
1323,4013.01,VPC,2.6325313,1.89e-05,2459740.9474508,0.0059775,4.167,15.2766,3.25,0.0014614634318890756,,188.64755193728274,,0.0014448494213170893,SH,425.28,,205.25363700096315,2.0,0.0,1.2517780375995862,2120.7998853843224,5407.0,0.94,2.42,0.0,25.791096,70.914451,14.156,11.612,,1.9311765706694908,0.0010622909731023496,-0.26,2.35,0.13751626260814553,0.010663730009796965,0.0002240315279259642,2460662.3334057997,86,2461615.3097364,25,2462286.6052178997,19
1324,4014.01,VPC-,2.8067423,6.2e-06,2459738.7923332,0.0015166,1.997,13.4381,8.7,0.10247355485350103,,193.63294010930562,,-0.09958642942365388,SH,402.9,,176.62139686972648,2.0,0.0,1.3396780231245011,1405.5466683044037,5863.0,1.06,0.98,0.0,58.204705,68.777461,14.364,12.199,,2.6081808092083874,0.0026167968347271,-0.26,2.35,0.3047118864059523,0.003982637206414719,0.00010964043417520217,2460659.4038076005,86,2461641.7636126,26,2462290.1210839003,19
1325,4015.01,VPC+,4.7427131,3e-06,2459738.4742971,0.0004105,3.115,17.876,8.11,0.00714543338196816,,190.46756295812543,,0.007026518504890589,SH,438.1,,157.44042220179534,2.0,0.0,1.1281890540983992,1476.6328085528569,5947.0,1.09,1.51,0.0,53.419707,68.612746,11.213,9.968,,0.4351523641145771,9.167089030930678e-05,-0.26,2.35,0.8155232416791178,0.010887367442455203,0.00010728101662495549,2460658.5606385004,86,2461611.8459716,25,2462290.0539449,19
1326,4017.01,VPC,7.0423707,3.65e-05,2459741.9995612,0.0037639,2.687,14.7821,7.65,0.0035981783829895178,,2.4396772350965135,,-0.0035949169642803614,SH,420.75,,162.88678043583323,2.0,0.0,1.2757083456887426,1250.664241813779,4892.0,0.8,1.88,0.0,7.739603,68.455115,13.767,11.369,,1.3364436732632303,0.0008078130899454786,-0.26,2.35,0.13762244091323173,0.0012836119261871786,2.4112028234790085e-05,2460629.3382694,85,2461615.2701674,25,2462263.1682718,18
1327,4022.01,VPC-,7.2089041,2.35e-05,2459652.5981614,0.0020883,3.445,7.33,18.0,0.009086289771962745,,200.0481939754342,,0.008535702411941971,SH,73.17,,25.065171812579038,2.0,0.0,1.125281598648004,905.1666666666666,5431.0,0.95,0.86,0.0,255.128993,59.625618,14.086,11.871,,1.8275360461328445,0.06379281659717456,-0.26,2.558,0.2433087792391696,6.726327212959094e-05,1.5921280377445103e-06,2460661.8447354,86,2461635.0467888997,26,2462341.5193907,21
1328,4024.01,VPC,6.3262148,2.97e-05,2459909.2629172,0.0037756,5.353,12.5231,7.7,0.0022030279910170347,,231.42879286027215,,-0.0013735588290308093,SH,384.32,,128.63082373784553,2.0,0.0,1.3804257815345486,1488.6794461893041,5842.0,1.05,1.9,0.0,335.627626,78.262344,14.119,12.121,,2.1268687428449415,0.0032807453499092056,-0.26,2.35,0.07551208970617446,0.0013592051665244494,3.609815593717868e-05,2460662.0824784003,86,2461636.3195576,26,2462287.9196820003,19
