pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
TIC 279401253 b,76.8,11.209,0.448,-0.448,25.02008929,1951.46642,123.95308,-133.48793,14.61904773
WASP-46 b,1.43036763,13.159,0.415,-0.415,31.70843373,607.0553,41.3179,-41.3179,14.69230769
TOI-849 b,0.76552414,3.444,0.157,-0.115,21.93630573,39.09,2.66,-2.55,14.69548872
WASP-89 b,3.3564227,11.657,0.448,-0.448,26.02008929,1875.197,127.132,-127.132,14.75
HATS-52 b,1.36665436,15.491,0.964,-0.964,16.06950207,711.9392,47.6745,-47.6745,14.93333333
WASP-80 b,3.06785234,11.198,0.336,-0.347,32.27089337,170.99254,11.12405,-11.44188,14.94444444
WASP-1 b,2.5199454,16.623,0.269,-0.381,43.62992126,271.415,18.116,-16.526,14.98206006
HIP 29442 c,3.53796,1.58,0.1,-0.11,14.36363636,4.5,0.3,-0.3,15
KELT-4 A b,2.9895932,19.044,0.516,-0.504,36.90697674,286.68266,19.0698,-18.75197,15.03333333
WASP-33 b,1.21987,17.856,0.829,-0.829,21.53920386,665.21819,44.17837,-44.17837,15.05755396
HAT-P-61 b,1.90231289,10.077,0.303,-0.303,33.25742574,335.94463,22.24799,-22.24799,15.09999915
HAT-P-60 b,4.7947813,18.282,0.269,-0.269,67.96282528,182.43351,12.07748,-12.07748,15.10526285
HAT-P-18 b,5.508023,11.153,0.583,-0.583,19.13036021,62.61,4.132,-4.132,15.15246854
WASP-138 b,3.634433,12.218,0.56,-0.56,21.81785714,387.7526,25.4264,-25.4264,15.25
Gaia-1 b,3.052524,13.776,0.235,-0.235,58.6212766,533.95172,34.96112,-34.96112,15.27272925
HATS-14 b,2.7667641,11.646,0.359,-0.247,32.44011142,340.39593,22.2481,-22.2481,15.3
WASP-28 b,3.40883495,13.664,0.314,-0.314,43.51592357,282.54945,18.43405,-18.43405,15.32758401
WASP-119 b,2.49979,15.693,2.242,-2.242,6.99955397,390.9309,25.4264,-25.4264,15.375
Kepler-39 b,21.08721,13.9,1.01,-1.12,12.41071429,6388.1,413.2,-381.4,15.46006776
TOI-421 c,16.06819,5.09,0.16,-0.15,31.8125,16.42,1.06,-1.04,15.49056604
WASP-2 b,2.152175,12.117,0.46,-0.448,26.34130435,295.89973,19.0698,-18.43414,15.51666667
HATS-35 b,1.8209993,16.41,0.773,-0.493,21.22897801,388.38826,24.79074,-24.79074,15.66666667
CoRoT-2 b,1.7429935,16.432,0.471,-0.493,33.3306288,1102.82,69.92,-69.92,15.77259725
HAT-P-34 b,5.452654,13.417,1.457,-1.031,9.208647907,1058.3739,66.7443,-63.566,15.85714286
TOI-905 b,3.739494,13.126,0.594,-0.572,22.0976431,211.99261,13.34886,-13.03103,15.88095238
HD 80653 b,0.719573,1.613,0.071,-0.071,22.71830986,5.72,0.36,-0.35,15.88888889
WASP-50 b,1.9551,13.07,0.482,-0.482,27.11618257,466.8287,29.24036,-29.24036,15.96521725
WASP-96 b,3.4252602,13.45,0.67,-0.67,20.07462687,152.55,9.53,-9.53,16.00734523
HAT-P-19 b,4.008778,12.689,0.807,-0.807,15.72366791,92.802,5.721,-5.721,16.22128998
TRAPPIST-1 h,18.772866,0.755,0.014,-0.014,53.92857143,0.326,0.02,-0.02,16.3
WASP-185 b,9.38755,14.011,0.897,-0.897,15.61984392,311.4734,19.0698,-19.0698,16.33333333
TOI-1478 b,10.180249,11.882,0.448,-0.437,26.52232143,270.47333,16.52716,-14.93801,16.36538462
WASP-164 b,1.7771255,12.644,0.46,-0.482,26.23236515,676.9779,38.1396,-41.3179,16.38461538
K2-290 c,48.36685,11.276,0.56,-0.56,20.13571429,246.00042,14.93801,-14.93801,16.46808511
WASP-31 b,3.4059096,17.363,0.56,-0.56,31.00535714,151.916,9.217,-9.217,16.48215254
